OCCURRENCE_YEAR,OCCURRENCE_DATE,REPORTED_DATE,BiasMotivation,PRIMARY_OFFENCE,NEIGHBOURHOOD_140,ARREST_MADE
2018,2018-01-03,2018-01-05,Religion,Wilful Promotion of Hatred,Forest Hill North (102),NO
2018,2018-01-08,2018-01-08,Religion,Assault,Mount Pleasant East (99),YES
2018,2018-01-10,2018-01-10,Race/Ethnicity,Mischief Under $5000,Annex (95),NO
2018,2018-01-19,2018-01-19,Religion,Mischief Under $5000,Rustic (28),NO
2018,2018-01-19,2018-01-20,Religion,Assault,Bay Street Corridor (76),NO
2018,2018-01-26,2018-01-28,Religion,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2018,2018-01-27,2018-01-27,Race/Ethnicity,Mischief Under $5000,Moss Park (73),NO
2018,2018-02-01,2018-02-01,Religion,Uttering Threats - Bodily Harm,Forest Hill North (102),NO
2018,2018-02-01,2018-02-01,Sexual Orientation,Mischief Under $5000,Weston (113),NO
2018,2018-02-02,2018-02-09,Religion,Mischief Under $5000,University (79),NO
2018,2018-02-05,2018-02-13,Race/Ethnicity,Mischief Under $5000,Highland Creek (134),NO
2018,2018-02-12,2018-02-12,Sexual Orientation,Assault,Church-Yonge Corridor (75),NO
2018,2018-02-13,2018-02-13,Race/Ethnicity,Mischief Under $5000,NSA,NO
2018,2018-02-16,2018-02-16,Religion,Uttering Threats - Bodily Harm,Yonge-Eglinton (100),NO
2018,2018-02-17,2018-02-17,Gender,Assault,Mimico (includes Humber Bay Shores) (17),NO
2018,2018-02-20,2018-02-20,Religion,Mischief Under $5000,Kensington-Chinatown (78),NO
2018,2018-02-21,2018-02-22,Religion,Mischief Under $5000,Old East York (58),NO
2018,2018-02-22,2018-02-22,Religion,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2018,2018-02-23,2018-02-23,Ethnicity,Assault,Moss Park (73),YES
2018,2018-02-24,2018-02-24,Race/Ethnicity,Mischief Under $5000,Lawrence Park North (105),NO
2018,2018-02-27,2018-02-27,Race/Ethnicity,Assault,NSA,YES
2018,2018-03-01,2018-03-01,Ethnicity,Criminal Harassment,York University Heights (27),NO
2018,2018-03-05,2018-03-05,Race/Ethnicity,Mischief Interfere With Property,York University Heights (27),NO
2018,2018-03-06,2018-03-06,Race/Ethnicity,Uttering Threats - Bodily Harm,Mount Pleasant West (104),NO
2018,2018-03-06,2018-03-06,Religion,Uttering Threats - Bodily Harm,Westminster-Branson (35),NO
2018,2018-03-09,2018-03-10,Religion,Mischief Under $5000,South Parkdale (85),NO
2018,2018-03-16,2018-03-17,Religion,Mischief Under $5000,Bay Street Corridor (76),NO
2018,2018-03-22,2018-03-22,Race/Ethnicity,Mischief Under $5000,York University Heights (27),NO
2018,2018-03-27,2018-03-30,Religion,Mischief Interfere With Property,Wychwood (94),NO
2018,2018-03-28,2018-05-08,Religion,Mischief Under $5000,Rockcliffe-Smythe (111),NO
2018,2018-03-28,2018-04-03,Religion,Uttering Threats - Bodily Harm,Humber Summit (21),YES
2018,2018-04-08,2018-04-09,Ethnicity,"Mischief To Religious Property, Educational Institutions, Etc.",Edenbridge-Humber Valley (9),NO
2018,2018-04-12,2018-04-12,Gender,Assault With a Weapon,Church-Yonge Corridor (75),YES
2018,2018-04-13,2018-04-13,Race/Ethnicity,Criminal Harassment,Moss Park (73),NO
2018,2018-04-13,2018-04-13,Gender,Assault Causing Bodily Harm,Church-Yonge Corridor (75),YES
2018,2018-04-14,2018-04-16,Religion,Uttering Threats - Bodily Harm,Kensington-Chinatown (78),NO
2018,2018-04-15,2018-04-15,Gender,Assault,Church-Yonge Corridor (75),YES
2018,2018-04-16,2018-04-19,Gender,Assault With a Weapon,Bay Street Corridor (76),YES
2018,2018-04-19,2018-04-19,Religion,Mischief Under $5000,York University Heights (27),NO
2018,2018-04-20,2018-04-21,Race/Ethnicity,Assault,Moss Park (73),NO
2018,2018-04-20,2018-04-24,Race/Ethnicity,Mischief Interfere With Property,Birchcliffe-Cliffside (122),NO
2018,2018-04-22,2018-05-23,Religion,Uttering Threats - Bodily Harm,Edenbridge-Humber Valley (9),NO
2018,2018-04-25,2018-04-26,Religion,Mischief Under $5000,Lawrence Park South (103),YES
2018,2018-04-26,2018-04-26,Religion,Assault,South Riverdale (70),NO
2018,2018-04-28,2018-04-29,Sexual Orientation,Mischief Under $5000,Humewood-Cedarvale (106),NO
2018,2018-05-05,2018-05-05,Ethnicity,Assault,Highland Creek (134),NO
2018,2018-05-14,2018-05-16,Religion,Mischief Under $5000,Mount Pleasant West (104),NO
2018,2018-05-16,2018-06-25,Ethnicity,Uttering Threats - Bodily Harm,NSA,NO
2018,2018-05-17,2018-05-17,Religion,Mischief Interfere With Property,Church-Yonge Corridor (75),NO
2018,2018-05-19,2018-05-19,Race/Ethnicity,Assault With a Weapon,Victoria Village (43),YES
2018,2018-05-21,2018-05-21,Religion,Mischief Under $5000,Eglinton East (138),NO
2018,2018-05-24,2018-07-26,Religion,Mischief Under $5000,Englemount-Lawrence (32),NO
2018,2018-05-29,2018-05-29,Sexual Orientation,Uttering Threats - Bodily Harm,West Humber-Clairville (1),NO
2018,2018-05-29,2018-05-30,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Wychwood (94),NO
2018,2018-05-31,2018-05-31,Race/Ethnicity,Mischief Under $5000,O'Connor-Parkview (54),NO
2018,2018-05-31,2018-06-01,Religion,Mischief Under $5000,Greenwood-Coxwell (65),NO
2018,2018-06-01,2018-06-01,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Annex (95),NO
2018,2018-06-06,2018-06-06,Religion,Assault,Downsview-Roding-CFB (26),YES
2018,2018-06-07,2018-06-07,Religion,Assault,Downsview-Roding-CFB (26),YES
2018,2018-06-12,2018-06-12,Religion,Uttering Threats - Bodily Harm,Flemingdon Park (44),YES
2018,2018-06-22,2018-07-11,Ethnicity,Uttering Threats - Property,Newtonbrook East (50),YES
2018,2018-06-23,2018-06-23,Religion,Mischief Under $5000,Bay Street Corridor (76),NO
